title,price,description,main_image,images,features
استپر موتور ایساکو کد 0617 مناسب برای 405 و سمند,349000,,"https://dkstatics-public.digikala.com/digikala-products/63de19a412ff3e9ff6cf53284e3587b4b838860a_1701123534.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/111623317.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/111623318.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/39eacda7b36d1196bbc1f9188f019a6310a35f55_1701123534.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/63de19a412ff3e9ff6cf53284e3587b4b838860a_1701123534.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']","{'مناسب برای خودرو': 'پژو 405 سمند', 'تعداد در بسته\u200cبندی': '1'}"
استپر موتور بورگ جرمنی مدل 2003 مناسب برای پژو 405,800000,,"https://dkstatics-public.digikala.com/digikala-products/3812510.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/3812514.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/3812515.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/3812516.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/3812518.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']","{'مناسب برای خودرو': 'پژو 405', 'نوع خودرو': 'سواری', 'تعداد در بسته\u200cبندی': '1', 'ویژگی\u200cهای استپر موتور و پتانسیومتر': 'دارای پیچ اتصال', 'کشور سازنده': 'آلمان'}"
استپر موتور دریچه گاز کروز پلاس مدل 601 مناسب خودرو پراید,680000,,"https://dkstatics-public.digikala.com/digikala-products/17cb44e45027a27e5175315f6d4eac74529093c7_1714041021.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/ff89c86d7eb8a1db68d1cce9fc6e1e5386f76962_1714041049.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/17cb44e45027a27e5175315f6d4eac74529093c7_1714041021.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']","{'مناسب برای خودرو': 'پژو 206 پژو 207 رانا پراید رانا پلاس', 'نوع خودرو': 'سواری', 'تعداد در بسته\u200cبندی': '1', 'ویژگی\u200cهای استپر موتور و پتانسیومتر': 'دارای پیچ اتصال دارای واشر آب\u200cبندی'}"
استپر موتور عظام کد 1002 مناسب برای پراید,920790,استپرموتور پیکان و پراید یکی از قطعات جانبی موتور خودرو در زمینه تولید گشتاور می باشد که وظیفه کنترل و تنظیم دور موتور را بر عهده دارد. در این قطعه با اطلاعاتی که از ECU خودرو دریافت میکند و دور موتور خودرو را طبق اطلاعات دریافت شده تنظیم میکند.,"https://dkstatics-public.digikala.com/digikala-products/2a954f7697af4c9be4b0eeaaeb458f945b867d57_1632134476.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/8bba0ebc942120fabeb552e3cf05c54dd77d9356_1631703679.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/0328004adabfbe1b6fbf1d097231e172c8ff71a1_1631703680.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']","{'شماره فنی': '3101002', 'مناسب برای خودرو': 'وانت پیکان پیکان پراید سایپا پراید 111 سایپا پراید 131 سایپا پراید 132 سایپا پراید 141 سایپا پراید 151 (وانت) پراید X100 پراید صبا پراید نسیم', 'نوع خودرو': 'سواری', 'تعداد در بسته\u200cبندی': '1', 'ویژگی\u200cهای استپر موتور و پتانسیومتر': 'دارای واشر آب\u200cبندی'}"
استپر موتور زیمنس مدل DENAA01 مناسب برای پژو 405,376160,,"https://dkstatics-public.digikala.com/digikala-products/056353081d459920f6dc3ef2b294cd84556ecfa3_1673173985.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/719084906151837712bb778b63274ffc77245f6a_1673173984.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/056353081d459920f6dc3ef2b294cd84556ecfa3_1673173985.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']","{'شناسه کالا': '2800001742965', 'مناسب برای خودرو': 'پژو 405 پژو پارس سمند سمند LX', 'نوع خودرو': 'سواری', 'تعداد در بسته\u200cبندی': '1', 'ویژگی\u200cهای استپر موتور و پتانسیومتر': 'دارای واشر آب\u200cبندی'}"
استپر موتور کروز + کد CR39079601 مناسب برای پژو 405,650000,شرکت کروز به عنوان بزرگترین شرکت تولید کننده قطعات خودرو در کشور و تامین کننده اصلی خطوط تولید شرکت های ایران خودرو و سایپا (OEM)، به منظور خدمات رسانی بیشتر و رفع نیاز های مشتریان و مصرف کنندگان محترمی که به هر دلیل نیازمند قطعات تولیدی این شرکت میباشند اقدام به عرضه تولیدات خود به بازار را نموده است.آنچه که در تفکر مدیران ارشد این مجموعه در طول 35 سال فعالیت تولیدی افتخار آمیز در عرصه خودرو قرار داشته و دارد، کسب رضایتمندی هر چه بیشتر مشتریان عزیز از طریق ارایه محصولات با بهترین کیفیت و قیمت مناسب میباشد. استپر موتور کروز مناسب برای موتورهای TU5 و EF7 و خودروهای پژو 405، پژو پارس، پژو 206، سمند و سمند سورن که دارای موتورهای مذکور می باشد، است.,"https://dkstatics-public.digikala.com/digikala-products/663e542031f7a8f708ab928182ec3e6f65571d34_1624954952.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/188d171aac7693bbccca56fc4fedb5a2b1df6be1_1624954949.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/7fa1fc874c8fc49c2eeeb2e26d06593f197d78f0_1624954950.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/a83d499d0e8a41893cc734297a0f0afba678284f_1624954951.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/c2df6fba0deb55efbf443097496d83c45f456c14_1624954953.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/e09cad8337ae06a2c89d0de7e7088449e76fc18c_1624954954.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/15da6aa84d6f5411210bf94549577f8dbc09dbcb_1624954955.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']","{'شماره فنی': 'CR 39073601', 'مناسب برای خودرو': 'پژو 206 سمند پژو 405', 'تعداد در بسته\u200cبندی': '1', 'ویژگی\u200cهای استپر موتور و پتانسیومتر': 'دارای پیچ اتصال', 'کشور سازنده': 'ایران'}"
استپر موتور زیمنس مدل 001862 مناسب برای پراید و تیبا,676590,,"https://dkstatics-public.digikala.com/digikala-products/d6a51a875b66f337adedf1d3fc20aee57a7a556c_1754828051.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/9a7afd73be68b8810ce8fd7056117ef0cd02bda5_1754828075.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/55efc173b7baa0afaf49e39576d3060ab2627459_1754828092.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/269317c58431fb6e2e314005b658fc084fe71ca3_1754828122.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/c97d0aba3cd35aaa2287279006545c9ba04f8c25_1754828156.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/8876233571e04f8bd2c6f4971347e80ecac564e3_1754828173.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/9fee77f4953f275b6fd4d2335c92e5e0979a205e_1754828176.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/5ebdad92621afe3216712a7a50472e0ea9e90e90_1754828224.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']","{'مناسب برای خودرو': 'پراید سایپا پراید 111 سایپا پراید 131 سایپا پراید 132 سایپا پراید 141 سایپا پراید 151 (وانت) پراید صبا پراید X100 پراید نسیم پراید وانت کوییک ساینا تیبا تیبا 2', 'نوع خودرو': 'سواری', 'تعداد در بسته\u200cبندی': '۱ عدد', 'ویژگی\u200cهای استپر موتور و پتانسیومتر': 'دارای واشر آب\u200cبندی', 'سایر توضیحات': 'مناسب برای انواع مدل خودروهای پراید ، تیبا ، ساینا ، کوییک با دریچه گاز سیمی و موتور انژکتور از سال ساخت ۱۳۸۴ به بالا. نکات نصب : ابتدا قبل از نصب قطعه محیط دریچه گاز داخل محل نصب استپر را با اسپری انژکتور شور تمیز کنید و سپس محل شستشو را خشک نموده و با استپر قبلی خودرو یک تک استارت بزنید تا باقی مانده محلول اسپری انژکتور از محیط دریچه گاز خارج شود ، سپس استپر جدید را بدون لمس کردن قطعه فلزی سر استپر نصب کنید ، پیچ های اتصال را ببندید و سوکت محصول را نصب نمایید و در آخر ، سوییچ خودرو را باز کنید تا برق پشت آمپر وصل شود و خودرو را استارت نزنید ، در حالتی که برق خودرو وصل است 15 ثانیه صبر کنید و سپس سوییچ را ببندید و 15 ثانیه دیگر صبر\u200cکنید ، این کار را 4 یا 5 بار انجام دهید و سپس خودرو را استارت بزنید تا ایسیو خودرو با استپر\u200cموتور همگام سازی شود ، ممکن پس از این مرحله باز هم ایسیو با قطعه همگام سازی نشود که اگر این مشکل وجود داشت به دیاگ کار با تجربه جهت پاک کردن خطا مراجعه کنید .'}"
استپر موتور ایرکا مدل 00947 مناسب برای پراید,1861020,,"https://dkstatics-public.digikala.com/digikala-products/7c23fd98a430b230c4f2b29a216aa4375b9628ef_1735766516.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/4cb822b11901b9b7e155a5a080beeaf60471b474_1735764762.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/6cc23533d12757ac3fe5184044c290368ffec222_1735764763.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/24da15f79f073f6a2912dab7a215209c23586177_1735764763.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/9b11873adedbe334e4999c9561e4db73c811af49_1735764763.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/c09f7431c1d3b531cbe5d4c598c97ce19f398052_1735764763.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/1a1bf86b6deb12ac4123fba7706ead659c177e6d_1735764763.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']","{'مناسب برای خودرو': 'پراید سایپا پراید 111 سایپا پراید 131 سایپا پراید 132 سایپا پراید 141 سایپا پراید 151 (وانت) پراید X100 پراید صبا پراید نسیم', 'نوع خودرو': 'سواری', 'تعداد در بسته\u200cبندی': '1 عدد', 'ویژگی\u200cهای استپر موتور و پتانسیومتر': 'دارای واشر آب\u200cبندی', 'کشور سازنده': 'ایران'}"
استپر موتور زیمنس مدل FTP86مناسب برای پراید,338970,,"https://dkstatics-public.digikala.com/digikala-products/069dd04ed6e92884e840e2f13f150533ca6c40a8_1729545476.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/3ea78a13149d13ee398826f8cd1317b5866a03b5_1729545533.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']","{'مناسب برای خودرو': 'پیکان پراید صبا پراید نسیم پراید X100', 'نوع خودرو': 'سواری', 'تعداد در بسته\u200cبندی': '1', 'ویژگی\u200cهای استپر موتور و پتانسیومتر': 'دارای واشر آب\u200cبندی'}"
استپر موتور دریچه گاز کروز پلاس مدل 601 مناسب برای TU5,660000,,"https://dkstatics-public.digikala.com/digikala-products/17cb44e45027a27e5175315f6d4eac74529093c7_1714039845.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/ff89c86d7eb8a1db68d1cce9fc6e1e5386f76962_1714065276.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']","{'مناسب برای خودرو': 'پژو 207 سمند پراید', 'نوع خودرو': 'سواری', 'تعداد در بسته\u200cبندی': '1', 'ویژگی\u200cهای استپر موتور و پتانسیومتر': 'دارای پیچ اتصال دارای واشر آب\u200cبندی'}"
استپر موتور ایران کاربراتور مدل R658,1412500,,"https://dkstatics-public.digikala.com/digikala-products/ae4c55dc426f3eb9c16f03d45e5885a1fc2540e5_1701035517.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/5fa4aaa23527e9a3927a39018e964467999a6da5_1701035517.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/110358630.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/bb63505057062437d803e8ecd323aea2a523147f_1701035517.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/ae4c55dc426f3eb9c16f03d45e5885a1fc2540e5_1701035517.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']","{'مناسب برای خودرو': 'پژو 405 سمند سیتروئن زانتیا', 'تعداد در بسته\u200cبندی': '1', 'ویژگی\u200cهای استپر موتور و پتانسیومتر': 'دارای واشر آب\u200cبندی', 'کشور سازنده': 'ایران'}"
استپر موتور  ایساکو کد 1010400699 مناسب برای پژو 405,349000,,"https://dkstatics-public.digikala.com/digikala-products/92dacfbf281dfa9e6ed571de2b34948a289f00c0_1693048901.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/c28c5ebbc353e5f9b80af99c5d191c46a3a2d04f_1693048898.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/10a916865e8b14ca71dc9430c7dc5d09d38aba87_1693048900.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/44b5d259c0197e9be46e87bdeb4cdf704b42896d_1693048903.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/92dacfbf281dfa9e6ed571de2b34948a289f00c0_1693048901.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']","{'مناسب برای خودرو': 'پژو 405', 'نوع خودرو': 'سواری', 'تعداد در بسته\u200cبندی': '1', 'ویژگی\u200cهای استپر موتور و پتانسیومتر': 'دارای پیچ اتصال'}"
استپر موتور کد ME299,97860,,"https://dkstatics-public.digikala.com/digikala-products/c91754777dc821e5ecbe084c470fc2eabea9fe3b_1615783463.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/bed981f6b44aa90951a86633cde9e3ed832fae21_1615783415.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/e99f6515b896d2b226e4df655afbc159e30d2e7a_1615783412.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/075059ab81251ce31a2152428b57c075d08f1fa5_1615783414.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/c91754777dc821e5ecbe084c470fc2eabea9fe3b_1615783413.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/bf3bc72a5c777068f16ef0c720e19ed52802de36_1615783411.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']","{'مناسب برای خودرو': 'پژو 405 سمند رانا کیا ریو پراید تیبا تیبا 2 نیسان زامیاد دنا پلاس', 'تعداد در بسته\u200cبندی': '1', 'کشور سازنده': 'ایران'}"
استپر موتور خودرو کروز پلاس مدل TU5,800000,خریداران گرامی دقت بفرمایید از آنجاییکه نمونه تقلبی این کالا در بازار با قیمت بسیار کمتر موجود هست، کالای ارسالی حتما باید هر دو لیبل شرکت کروز پلاس ( هولوگرام هفت رنگ کروز پلاس و برچسب اطلاع رسانی اصالت کالای قابل استعلام پیامکی کروز پلاس ) واشر آب بندی سبز رنگ و دو پیچ اتصال را دارا باشد، همچنین پلاستیک وکیوم داخل جعبه باید نوشته کروز پلاس را به فارسی و انگلیسی داشته باشد، در غیر این صورت کالای ارسالی حتما تقلبی و با کیفیت پایین هست. این استپر مناسب برای تمامی خودروها با موتور TU5 ( پژو پارس، پژو 405 SLX، پژو 206، رانا) می‌باشد.,"https://dkstatics-public.digikala.com/digikala-products/81399d9ca3825fe10fca529bea257a37b4094678_1754043164.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/662aa1ecb5af8e05d8d744d3a5767d2946b699f9_1754043165.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/684a2f649d51e752089a3be03012bf8467d7550a_1754043233.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/d1de8e5c2189b97586260428b51410e343c1bf7e_1754043168.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/82deae0f5927f78258f6a1fc0a985de57b64601a_1754043174.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']","{'شماره فنی': 'CR39079601', 'مناسب برای خودرو': 'پژو 206 پژو پارس پژو 405 رانا', 'نوع خودرو': 'سواری', 'تعداد در بسته\u200cبندی': '1', 'ویژگی\u200cهای استپر موتور و پتانسیومتر': 'دارای پیچ اتصال دارای واشر آب\u200cبندی'}"
